english,japanese
one,1
two,2
three,3
four,4
five,5
six,6
seven,7
eight,8
nine,9
ten,10
eleven,11
twelve,12
thirteen,13
fourteen,14
fifteen,15
sixteen,16
seventeen,17
eighteen,18
nineteen,19
twenty,20
thirty,30
forty,40
fifty,50
sixty,60
seventy,70
eighty,80
ninety,90
hundred,100
first,1番目の
second,2番目の
third,3番目の
fourth,4番目の
fifth,5番目の
January,1月
February,2月
March,3月
April,4月
May,5月
June,6月
July,7月
August,8月
September,9月
October,10月
November,11月
December,12月
spring,春
summer,夏
fall,秋
winter,冬
weather,天気
sunny,晴れの
cloudy,くもりの
rainy,雨の
snowy,雪の
windy,風の強い
warm,暖かい
cool,涼しい
hot,暑い
cold,寒い
color,色
red,赤
blue,青
yellow,黄色
green,緑
orange,オレンジ色
purple,紫
pink,ピンク
black,黒
white,白
brown,茶色
animal,動物
dog,犬
cat,猫
bird,鳥
fish,魚
rabbit,うさぎ
horse,馬
cow,牛
pig,ぶた
sheep,羊
duck,あひる
chicken,にわとり
monkey,さる
elephant,ぞう
lion,ライオン
tiger,トラ
bear,くま
panda,パンダ
apple,りんご
banana,バナナ
grape,ぶどう
melon,メロン
peach,もも
strawberry,いちご
lemon,レモン
tomato,トマト
potato,じゃがいも
carrot,にんじん
onion,玉ねぎ
corn,とうもろこし
rice,ごはん
bread,パン
egg,卵
milk,牛乳
water,水
juice,ジュース
tea,お茶
cake,ケーキ
candy,キャンディー
chocolate,チョコレート
breakfast,朝食
lunch,昼食
dinner,夕食
soccer,サッカー
baseball,野球
basketball,バスケットボール
tennis,テニス
volleyball,バレーボール
badminton,バドミントン
swimming,水泳
sport,スポーツ
game,ゲーム
ball,ボール
piano,ピアノ
guitar,ギター
recorder,リコーダー
song,歌
movie,映画
TV,テレビ
radio,ラジオ
camera,カメラ
bicycle,自転車
bus,バス
train,電車
car,車
plane,飛行機
station,駅
park,公園
library,図書館
museum,博物館
hospital,病院
restaurant,レストラン
shop,店
store,店
city,市
town,町
country,国
world,世界
room,部屋
kitchen,台所
bathroom,浴室
garden,庭
door,ドア
window,窓
table,テーブル
chair,いす
desk,机
bed,ベッド
box,箱
bag,かばん
cap,帽子
shirt,シャツ
T-shirt,Tシャツ
skirt,スカート
pants,ズボン
shoes,くつ
socks,靴下
uniform,制服
coat,コート
umbrella,かさ
money,お金
name,名前
age,年齢
birthday,誕生日
address,住所
club,部活動
member,メンバー
event,行事
festival,祭り
party,パーティー
present,プレゼント
holiday,休日
vacation,休暇
trip,旅行
picnic,ピクニック
happy,幸せな
sad,悲しい
hungry,お腹がすいた
thirsty,のどがかわいた
tired,疲れた
sleepy,眠い
cute,かわいい
pretty,かわいらしい
beautiful,美しい
famous,有名な
popular,人気のある
clean,きれいな
dirty,汚い
careful,注意深い
