id,english,japanese,detail,sample,sample-jpn
c1-part1-0001,mechanism,仕組み；機械装置,「物事が動く仕組み」を表す語。機械だけでなく制度・原因にも使う。「機械装置」の意味もある。 ,"The contract defines the mechanism in plain language.",c1-part1-0001_例文の日本語訳
c1-part1-0002,acre,エーカー,「エーカー」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The team checked the acre before leaving.",c1-part1-0002_例文の日本語訳
c1-part1-0003,carrier,運搬者；運送会社,「運搬者」を表す語という具体的対象。人・物・場所などを直接指す語。「運送会社」の意味もある。 ,"The carrier arrived early for the workshop.",c1-part1-0003_例文の日本語訳
c1-part1-0004,jurisdiction,管轄権；司法権,「管轄権」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「司法権」の意味もある。 ,"The policy raised questions about jurisdiction.",c1-part1-0004_例文の日本語訳
c1-part1-0005,clinical,臨床の,「臨床の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The editor marked a clinical phrase.",c1-part1-0005_例文の日本語訳
c1-part1-0006,render,～を～にする；表現する,「ある状態にする／表現する」を表す語。makeやgiveの硬い語。 ,"Workers learned to render it during practice.",c1-part1-0006_例文の日本語訳
c1-part1-0007,hence,それゆえに,「それゆえに」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The speaker defined hence with a simple example.",c1-part1-0007_例文の日本語訳
c1-part1-0008,specimen,見本,「見本」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A photo showed the specimen beside the road.",c1-part1-0008_例文の日本語訳
c1-part1-0009,cite,～を引用する,「引用する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The training video shows how to cite it safely.",c1-part1-0009_例文の日本語訳
c1-part1-0010,structural,構造の,「構造の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted a structural pattern.",c1-part1-0010_例文の日本語訳
c1-part1-0011,allege,～を主張する,「主張する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to allege it during practice.",c1-part1-0011_例文の日本語訳
