english,japanese
act,演じる
allow,許す
apologize,謝る
argue,口論する
attack,攻撃する
beat,打ち負かす
blow,吹く
clap,拍手する
complain,不平を言う
cost,費用がかかる
cough,せきをする
earn,稼ぐ
examine,調べる
explore,探検する
face,直面する
fear,恐れる
float,浮かぶ
fold,折る
force,強制する
greet,あいさつする
guard,守る
handle,扱う
heat,熱する
kick,蹴る
kiss,キスする
laugh,笑う
lay,横たえる
mean,意味する
measure,測る
mention,述べる
obey,従う
plant,植える
post,投稿する
prevent,防ぐ
recognize,認識する
remain,残る
remove,取り除く
rent,借りる
reserve,予約する
respect,尊敬する
ring,鳴る
roll,転がる
scare,怖がらせる
sign,署名する
smell,においがする
sound,〜に聞こえる
spell,つづる
squeeze,しぼる
surprise,驚かせる
tie,結ぶ
treat,扱う
unite,団結させる
wish,願う
operate,操作する
organize,組織する
pack,荷造りする
paint,絵を描く
relax,くつろぐ
row,ボートをこぐ
rub,こする
score,得点する
select,選ぶ
stick,貼り付ける
suppose,〜だと思う
sweep,掃く
thank,感謝する
translate,翻訳する
travel,旅行する
unlock,鍵を開ける
wave,手を振る
adult,大人の
anxious,心配している
bitter,苦い
calm,落ち着いた
cheerful,陽気な
classic,古典的な
colorful,色とりどりの
deaf,耳の聞こえない
disabled,障がいのある
distant,遠い
elegant,上品な
empty,空の
European,ヨーロッパの
extra,余分の
foolish,愚かな
formal,正式な
homeless,家のない
independent,独立した
kind-hearted,心の優しい
magical,魔法のような
medical,医学の
negative,否定的な
noisy,騒がしい
online,オンラインの
outdoor,屋外の
perfect,完璧な
positive,前向きな
powerful,力強い
regular,規則的な
responsible,責任がある
rough,ざらざらした
shy,内気な
square,四角い
thick,厚い
western,西洋の
eastern,東洋の
northern,北の
southern,南の
whole,全体の
wet,ぬれた
accent,アクセント
airport,空港
athlete,運動選手
audience,観客
battery,電池
beach,浜辺
bell,ベル
bench,ベンチ
blanket,毛布
bottle,びん
bowl,ボウル
captain,キャプテン
ceiling,天井
charity,慈善
childhood,子ども時代
church,教会
circle,円
coin,硬貨
college,大学
concert,コンサート
courage,勇気
dentist,歯科医
driver,運転手
earthquake,地震
emergency,緊急事態
engineer,技師
farm,農場
fever,熱
flight,飛行
flower,花
forest,森
gate,門
gift,贈り物
glass,ガラス
gram,グラム
hotel,ホテル
ice,氷
importance,重要性
injury,けが
invitation,招待
leader,リーダー
medicine,薬
office,事務所
oil,油
package,小包
passenger,乗客
patient,患者
police,警察
pond,池
recipe,レシピ
roof,屋根
scarf,スカーフ
seat,座席
sightseeing,観光
sidewalk,歩道
spoon,スプーン
staff,職員
star,星
ticket,切符
towel,タオル
trainer,トレーナー
wall,壁
wallet,財布
whale,クジラ
wheelchair,車いす
wind,風
wing,翼
zoo,動物園
ceremony,式典
screen,画面
actually,実際に
especially,特に
clearly,はっきりと
carefully,注意深く
easily,簡単に
quietly,静かに
loudly,大声で
politely,礼儀正しく
safely,安全に
luckily,幸運にも
recently,最近
yet,まだ
still,まだ
since,〜以来
though,〜だけれども
unless,〜でない限り
whether,〜かどうか
according to,〜によると
as soon as,〜するとすぐに
in order to,〜するために
