id,english,japanese,detail,sample,sample-jpn
b2-part3-0001,bud,芽,これから開く芽・つぼみ。芽生えや、芽を出す動詞にも使う。,"A small bud appeared on the branch.",枝に小さなつぼみが現れた。
b2-part3-0002,lest,～しないように,「～しないように」を表す接続詞。心配や用心を示す。,"He whispered lest he wake the baby.",彼は赤ちゃんを起こさないようにひそひそと話した。
b2-part3-0003,syllable,音節,発音のひと区切りの音節。ひと言の意味にも使う。,"The first syllable in the word is stressed.",その単語の最初の音節が強調される。
b2-part3-0004,spectacle,光景,目を奪う光景・見せ物。ぶざまな様子や眼鏡を指す。,"The fireworks were a wonderful spectacle.",花火は素晴らしい光景だった。
b2-part3-0005,sanitation,衛生,公衆の衛生・衛生設備。下水処理を指すこともある。,"Good sanitation prevents disease.",良い衛生環境は病気を防ぐ。
b2-part3-0006,microscopic,顕微鏡の,顕微鏡でしか見えないほど微細な様子。極小のイメージ。,"Microscopic bacteria live in water.",微小な細菌が水の中に生息している。
b2-part3-0007,mock,～をあざける・まねる,あざけりまねるイメージ。ばかにする・模擬のの意味にも使う。,"Do not mock someone for making a mistake.",失敗した人を馬鹿にしてはいけない。
b2-part3-0008,murmur,ささやき・ざわめき,低くささやく声・ざわめき。つぶやく・不平を言う動詞にも。,"I heard a quiet murmur in the room.",部屋でかすかなつぶやきが聞こえた。
b2-part3-0009,unsatisfactory,不満足な,望みを満たさない不満足な様子。物足りないイメージ。,"The meal was unsatisfactory, so we complained.",食事は不満足だったので、私たちは苦情を言った。
b2-part3-0010,mutter,つぶやく,口の中でぶつぶつつぶやくイメージ。不平をこぼす意味にも。,"He began to mutter under his breath.",彼は低い声でぶつぶつと言い始めた。
b2-part3-0011,nationwide,全国的な,国全体に及ぶ全国的な様子。全国規模のイメージ。,"The company launched a nationwide campaign.",会社は全国的なキャンペーンを開始した。
b2-part3-0012,linger,長居する・残る,なかなか去らず長居するイメージ。名残を残す意味にも使う。,"The smell will linger for hours.",そのにおいは何時間も残るだろう。
b2-part3-0013,offend,～の感情を害する,相手の感情を害するイメージ。怒らせる・違反する意味にも。,"His words may offend people.",彼の言葉は人々を不快にさせるかもしれない。
b2-part3-0014,absurd,道理に合わない,理屈に合わない道理に合わない様子。ばかげたイメージ。,"His excuse was absurd.",彼の言い訳はばかげていた。
b2-part3-0015,lengthy,非常に長い,だらだらと非常に長い様子。長ったらしいイメージ。,"The meeting was lengthy and tiring.",会議は長くて疲れるものだった。
b2-part3-0016,rip,～を裂く・破れる,びりっと引き裂くイメージ。破れる・猛スピードで進む意味も。,"Do not rip the paper.",紙を破かないでください。
b2-part3-0017,technically,専門的に,「専門的に・厳密には」を表す副詞。技術面や字義上を示す。,"Technically, the machine is still under warranty.",技術的には、その機械はまだ保証期間内だ。
b2-part3-0018,unsuccessful,不成功の,うまくいかない不成功の様子。失敗したイメージ。,"The first attempt was unsuccessful, but we tried again.",最初の試みは失敗したが、もう一度挑戦した。
