id,english,japanese,detail,sample,sample-jpn
c1-part2-0029,bureaucratic,官僚の,お役所風の官僚の様子。形式ばった・煩雑なイメージ。,"The bureaucratic process took months.",官僚的な手続きに何ヶ月もかかった。
c1-part1-0178,commend,～をほめる,手放しでほめるイメージ。推薦する・ゆだねる意味にも使う。,"The manager will commend her for hard work.",マネージャーは彼女の努力を称えるだろう。
c1-add1-0365,differentiation,区別、差別化、微分,違いを設ける差別化。数学の微分を指すこともある。,"Product differentiation attracts buyers.",製品の差別化が買い手を引きつける。
c1-part2-0049,ornamental,装飾の,見た目を飾る装飾の様子。観賞用のイメージ。,"The garden had an ornamental pond.",庭には装飾的な池があった。
c1-add1-0244,realtor,不動産業者、宅地建物取引業者,家や土地の売買を仲介する不動産業者を指す。,"The realtor showed us the house.",不動産業者が私たちに家を見せた。
c1-part2-0160,toughness,じょうぶさ,折れないじょうぶさ。頑丈さ・厳しさを指す。,"His toughness helped him finish the race.",彼のたくましさがレースを完走させた。
c1-part4-0075,unmanned,乗組員がいない,人の乗らない無人の様子。乗組員がいないイメージ。,"An unmanned drone flew over the field.",無人ドローンが野原の上を飛んだ。
c1-add1-0546,facet,側面、面、切子面,物事の一つの側面。宝石の切子面を指すこともある。,"We studied every facet of the plan.",私たちは計画のあらゆる側面を調べた。
c1-part3-0132,gruesome,恐ろしい,見るに耐えない恐ろしい様子。むごたらしいイメージ。,"The movie showed a gruesome scene.",その映画には残酷なシーンがあった。
c1-add1-0589,locus,場所、中心、軌跡,物事の中心となる場所。数学で点の集まりの軌跡を指すことも。,"The city is the locus of trade.",その都市は交易の中心だ。
c1-part1-0050,notwithstanding,～にもかかわらず,「～にもかかわらず」を表す語。逆接を示す。,"Notwithstanding the rain, we continued.",雨にもかかわらず、私たちは続けた。
c1-part4-0055,pendulum,振り子,揺れて時を刻む振り子。ゆれ動く傾向の比喩にも使う。,"The pendulum swung back and forth.",振り子が前後に揺れた。
c1-add1-0486,restrain,抑える、制止する,力や感情を抑え止める動詞。自由を縛る意味でも使う。,"He could not restrain his anger.",彼は怒りを抑えられなかった。
c1-add1-0198,wares,商品、売り物,売るために並べた商品・売り物。露店などの品を指す。,"The seller displayed his wares.",売り手は商品を並べた。
c1-part2-0034,mingle,混ざる、～を混ぜる,入り混じるイメージ。混ぜる・歓談する意味にも使う。,"Guests began to mingle after the speech.",ゲストたちはスピーチの後に交流し始めた。
c1-add1-0273,sender,送り主、発信者,手紙やメールを送る送り主。差出人を指す。,"The sender forgot to sign the letter.",送り主は手紙に署名し忘れた。
c1-part2-0038,temperament,気質,生まれ持った気質。気性・体質を指す。,"A calm temperament helps in emergencies.",穏やかな気性は緊急時に役立つ。
c1-part2-0011,adversary,敵,立ちはだかる敵・対抗者。競争相手を指す。,"The hero finally faced his adversary.",英雄はついに敵対者と対峙した。
c1-part4-0023,bubbly,泡の多い,泡の多い様子。快活で陽気なの意味にも使う。,"She has a bubbly personality.",彼女は元気いっぱいな性格だ。
c1-add1-0386,equate,同一視する、等しいとみなす,二つを同じものとみなす動詞。等号で結ぶように扱う意味で使う。,"Don't equate money with happiness.",お金を幸福と同一視してはいけない。
c1-part3-0087,extortion,恐喝、強要,「恐喝」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「強要」の意味もある。 ,"The gang was arrested for extortion.",そのギャングは恐喝の罪で逮捕された。
c1-part3-0068,fanatic,狂信者,のめり込む狂信者・熱狂者。熱烈なファンを指す。,"A football fanatic watched every match.",サッカーの熱狂的なファンが全試合を観戦した。
c1-part3-0163,frosty,霜の降りた、冷たい,霜の降りた・凍てつく様子。よそよそしいの意味にも使う。,"The ground was frosty in the morning.",朝は地面に霜が降りていた。
c1-add1-0559,grammatical,文法の、文法的に正しい,言葉の文法に関する様子。規則にかなった言い方のイメージ。,"The sentence is grammatical.",その文は文法的に正しい。
c1-add1-0291,sunscreen,日焼け止め,日光から肌を守る日焼け止め。紫外線を防ぐクリームを指す。,"Apply sunscreen before going out.",出かける前に日焼け止めを塗りなさい。
c1-part3-0169,concerto,協奏曲,独奏と管弦楽の協奏曲。コンチェルトを指す。,"The pianist played a concerto.",ピアニストが協奏曲を演奏した。
c1-add1-0418,insurgency,反乱、暴動、武装蜂起,政府に武力で抗う反乱。組織的な武装蜂起を指す。,"The army fought the insurgency.",軍は反乱と戦った。
c1-part2-0148,paternal,父の,父に関する父の様子。父方の・父親らしいイメージ。,"He gave paternal advice to his son.",彼は息子に父親らしいアドバイスをした。
c1-add1-0590,longitudinal,縦断的な、経時的な、縦の,長期にわたり追跡する縦断的な様子。縦方向のイメージ。,"They did a longitudinal study of children.",彼らは子どもの縦断的な研究を行った。
c1-part3-0119,silhouette,影絵,輪郭だけの影絵。人影・シルエットを指す。,"The mountain formed a dark silhouette at sunset.",山は夕暮れ時に暗いシルエットを作った。
c1-add1-0516,synergy,相乗効果、シナジー,組み合わせで生まれる相乗効果。足し算以上の効き目を指す。,"The merger created synergy.",その合併は相乗効果を生んだ。
c1-add1-0346,confer,授与する、協議する,称号などを授ける動詞。話し合って協議する意味でも使う。,"The university conferred a degree on her.",大学は彼女に学位を授けた。
c1-part1-0011,allege,～を主張する,証拠なしに主張するイメージ。申し立てる意味で使う。,"Witnesses allege that the driver lied.",目撃者たちはドライバーが嘘をついたと主張している。
c1-part4-0071,hedgehog,ハリネズミ,とげを持つ小動物ハリネズミ。丸くなる姿を指す。,"The hedgehog moved quietly through the grass.",ハリネズミは草の中を静かに動いた。
c1-part2-0193,clutter,～を取り散らかす,物を取り散らかすイメージ。名詞では散らかりを指す。,"Papers clutter the desk.",机の上に書類が散らかっている。
c1-part1-0102,concur,同意見である,意見が一致し同意見であるイメージ。同時に起こる意味にも使う。,"I concur with your opinion.",あなたの意見に同意します。
c1-add1-0366,dilute,薄める、希釈する、弱める,水などを加えて薄める動詞。効力や割合を弱める意味にも使う。,"Dilute the juice with water.",そのジュースを水で薄めなさい。
c1-part4-0157,encompass,～を取り囲む,ぐるりと取り囲むイメージ。含む・網羅する意味で使う。,"The course will encompass grammar, reading, and writing.",そのコースは文法・読解・作文を網羅する。
c1-add1-0545,exponential,指数関数的な、急激な,加速度的に増える指数関数的な様子。急上昇のイメージ。,"The city saw exponential growth.",その都市は指数関数的な成長を見せた。
c1-add1-0068,firewall,防火壁、ファイアウォール,侵入を防ぐネットの防火壁。火の広がりを防ぐ壁も指す。,"The firewall blocks unwanted access.",ファイアウォールは不正な接続を防ぐ。
c1-part3-0081,limitless,無限の,果てのない無限の様子。限りないイメージ。,"The desert seemed limitless.",砂漠は果てしなく広がっているように見えた。
c1-add1-0609,nonlinear,非線形の、直線的でない,比例せず一定でない非線形の様子。入り組んだ関係のイメージ。,"The equation is nonlinear.",その方程式は非線形だ。
c1-part4-0149,prolong,～を延ばす,長さや時間を延ばすイメージ。引き延ばす意味で使う。,"The medicine may prolong his life.",その薬は彼の命を延ばすかもしれない。
c1-part3-0032,unconventional,しきたりにとらわれない,型にはまらないしきたりにとらわれない様子。型破りなイメージ。,"Her unconventional idea surprised the team.",彼女の型破りなアイデアはチームを驚かせた。
