english,japanese
probable,ありそうな
involvement,関連
headquarters,本部
consult,に頼る
qualification,制限
injection,注射
clothing,衣類
reasonably,理性的に
subdivision,区分
known,名高い
replacement,置き換わること
ally,を同盟させる
incentive,刺激
laser,レーザー
ease,気楽さ
investor,投資者
shipping,船積み
reinforce,を増強する
erect,直立した
innovation,革新
precisely,正確に
cabinet,キャビネット
relieve,を和らげる
excessive,度を越した
regardless,むとんじゃくな
thoroughly,徹底的に
disposition,気質
stimulate,を刺激する
migration,移住
sweep,を掃く
revolutionary,革命の
arch,アーチ
memorial,記念の
fleet,艦隊
divorce,離婚
editorial,社説
alliance,同盟
deficit,不足額
mathematical,数学の
mature,成熟した
projection,突き出ること
polish,を磨く
noble,高貴の
adverse,反対の
virtually,事実上
swing,を振る
inflation,インフレーション
exhaust,を疲れ果てさせる
gaze,じっと見つめる
thesis,陳述
pose,姿勢をとる
embrace,を抱きしめる
peer,じっと見つめる
recreation,作り直し
fabric,織物
flame,炎のような輝き
likewise,同様に
friendly,好意的な
worship,崇拝
governmental,政治の
interfere,干渉する
reprint,を再び印刷する
prompt,てきぱきした
stroke,一打ち
serial,連載物
complexity,複雑さ
assurance,保証
dental,歯の
assemble,を集める
hell,死者の国
spray,小枝
approximate,近似の
sketch,スケッチ
attendance,出席
accumulate,を蓄積する
separately,分かれて
thread,糸
fraud,詐欺
instruct,に知識を与える
unto,に
blade,刃
immigrant,移住者
evolve,を徐々に発展させる
alternate,交互の
solar,太陽の
collector,収集家
widow,未亡人
originate,を引き起こす
controversy,論争
consultant,専門的助言をする人
fate,運命
throat,のど
versus,対
pitch,ピッチ
tunnel,トンネル
competent,有能な
walker,歩く人
withdrawal,引っ込めること
conceive,を心に抱く
exclusively,排他的に
inadequate,不十分な
fixed,固定した
seller,売る人
flexible,曲げられる
confront,に立ち向かう
numerical,数の
crucial,決定的な
shield,盾
suppress,を鎮圧する
undoubtedly,疑いなく
deck,デッキ
accommodation,便宜
strictly,厳格に
resume,を再び始める
rental,賃貸料
flesh,肉
hay,干し草
vitamin,ビタミン
certification,証明
voter,投票者
surrender,を引き渡す
span,スパン
compile,をまとめる
striking,人目につく
supplier,供給者
lighting,照明
navigation,航行
landing,上陸
ceiling,天井
ritual,儀式の
spare,を容赦する
genuine,本物の
artery,動脈
workman,仕事のな人
assault,的な意で)襲うこと
hardware,金物類
probe,さぐり針
engagement,約束
multiply,を増す
odd,奇妙な
certify,を証明する
presumably,たぶん
expedition,遠征
legitimate,合法的な
suffering,苦痛
merchandise,商品
naval,海軍の
bankruptcy,破産
condemn,を非難する
underground,地下の
grasp,をしっかり握る
hook,掛けくぎ
trunk,幹
informal,正式でない
investigator,調査者
mask,仮面
feedback,フィードバック
outlet,出口
potentially,可能性を秘めて
stain,を汚す
descend,下る
forestry,林学
flexibility,柔軟性
exploit,英雄的行為
presidential,大統領の
exclusion,除外すること
chip,木の切れ端
patch,つぎ当て
duplicate,そっくり同じの
impulse,衝動
limb,手足
missile,ミサイル
conductor,指導者
beneficial,有益な
inspect,を検査する
insufficient,不十分な
lifetime,生涯
sail,帆
skilled,熟練した
wolf,オオカミ
quotation,引用すること
heritage,世襲財産
bolt,ボルト
conjunction,接続詞
weed,雑草
shed,を流す
seldom,めったにない
cope,対抗する
gently,優しく
trait,特性
compensate,に補償する
vibration,震え
pursuit,追うこと
ideology,イデオロギー
respiratory,呼吸の
verbal,語の
supervise,を監督する
clarify,を明らかにする
overlook,を見落とす
digest,を消化する
