english,japanese
hello,こんにちは
hi,やあ
goodbye,さようなら
bye,バイバイ
good morning,おはよう
good afternoon,こんにちは
good evening,こんばんは
good night,おやすみなさい
thank you,ありがとう
thanks,ありがとう
please,お願いします
sorry,ごめんなさい
yes,はい
no,いいえ
OK,わかりました
nice,すてきな
friend,友だち
name,名前
you,あなた
I,わたし
red,赤
blue,青
yellow,黄色
green,緑
pink,ピンク
orange,オレンジ
purple,紫
brown,茶色
black,黒
white,白
gray,灰色
gold,金色
silver,銀色
color,色
rainbow,虹
one,1
two,2
three,3
four,4
five,5
six,6
seven,7
eight,8
nine,9
ten,10
eleven,11
twelve,12
thirteen,13
fourteen,14
fifteen,15
sixteen,16
seventeen,17
eighteen,18
nineteen,19
twenty,20
dog,犬
cat,猫
bird,鳥
fish,魚
rabbit,うさぎ
hamster,ハムスター
mouse,ねずみ
horse,馬
cow,牛
pig,ぶた
sheep,羊
goat,やぎ
duck,あひる
chicken,にわとり
monkey,さる
elephant,ぞう
lion,ライオン
tiger,トラ
bear,くま
panda,パンダ
apple,りんご
banana,バナナ
orange,オレンジ
grape,ぶどう
melon,メロン
peach,もも
strawberry,いちご
lemon,レモン
tomato,トマト
potato,じゃがいも
carrot,にんじん
onion,玉ねぎ
rice,ごはん
bread,パン
egg,卵
milk,牛乳
water,水
juice,ジュース
cake,ケーキ
ice cream,アイスクリーム
school,学校
classroom,教室
teacher,先生
student,生徒
desk,机
chair,いす
book,本
notebook,ノート
pencil,えんぴつ
pen,ペン
eraser,消しゴム
ruler,ものさし
bag,かばん
crayon,クレヨン
marker,マーカー
scissors,はさみ
glue,のり
paper,紙
card,カード
letter,文字
house,家
room,部屋
door,ドア
window,窓
table,テーブル
bed,ベッド
box,箱
cup,カップ
plate,皿
spoon,スプーン
fork,フォーク
clock,時計
phone,電話
TV,テレビ
computer,コンピューター
head,頭
face,顔
eye,目
ear,耳
nose,鼻
mouth,口
hand,手
arm,腕
leg,脚
foot,足
hair,髪
body,体
shoulder,肩
knee,ひざ
toe,つま先
soccer,サッカー
baseball,野球
basketball,バスケットボール
tennis,テニス
swimming,水泳
running,走ること
jump,ジャンプする
dance,踊る
sing,歌う
play,遊ぶ
ball,ボール
game,ゲーム
team,チーム
park,公園
toy,おもちゃ
happy,うれしい
sad,悲しい
angry,怒っている
hungry,お腹がすいた
thirsty,のどがかわいた
tired,疲れた
sleepy,眠い
hot,暑い
cold,寒い
good,よい
bad,悪い
big,大きい
small,小さい
long,長い
short,短い
Monday,月曜日
Tuesday,火曜日
Wednesday,水曜日
Thursday,木曜日
Friday,金曜日
Saturday,土曜日
Sunday,日曜日
sunny,晴れの
cloudy,くもりの
rainy,雨の
snowy,雪の
windy,風の強い
weather,天気
look,見る
listen,聞く
speak,話す
read,読む
write,書く
eat,食べる
drink,飲む
like,好き
want,ほしい
have,持っている
go,行く
come,来る
