english,japanese
abandon,捨てる
abolish,廃止する
absorb,吸収する
accelerate,加速する
accompany,同行する
accomplish,達成する
accuse,非難する
adapt,適応する
adjust,調整する
admire,賞賛する
adopt,採用する
advance,前進する
advertise,宣伝する
afford,余裕がある
analyze,分析する
announce,発表する
appeal,訴える
apply,申し込む
appoint,任命する
appreciate,感謝する
approach,近づく
approve,承認する
arise,生じる
arrange,手配する
assess,評価する
assume,思い込む
attach,取り付ける
attempt,試みる
attract,引きつける
avoid,避ける
benefit,利益を得る
blame,責める
boost,高める
calculate,計算する
cancel,取り消す
capture,捕らえる
challenge,挑戦する
characterize,特徴づける
claim,主張する
combine,組み合わせる
commit,取り組む
compare,比較する
compete,競争する
complain,不平を言う
concentrate,集中する
conduct,行う
confirm,確認する
connect,つなぐ
consider,よく考える
consist,成り立つ
consume,消費する
contain,含む
contribute,貢献する
convince,納得させる
cooperate,協力する
criticize,批判する
define,定義する
deliver,届ける
demonstrate,実演する
deny,否定する
ability,能力
absence,不在
access,利用する機会
account,説明
achievement,達成
attitude,態度
authority,権威
background,背景
behavior,行動
burden,負担
capacity,能力
career,経歴
category,分類
cause,原因
circumstance,状況
civilization,文明
climate,気候
concept,概念
conflict,対立
consequence,結果
context,文脈
contrast,対照
corporation,企業
council,評議会
crisis,危機
culture,文化
decade,10年間
demand,要求
democracy,民主主義
destination,目的地
device,装置
dignity,尊厳
disaster,災害
diversity,多様性
economy,経済
element,要素
emotion,感情
environment,環境
evidence,証拠
expert,専門家
factor,要因
feature,特徴
figure,数字
foundation,基礎
generation,世代
identity,個性
impact,影響
impression,印象
income,収入
individual,個人
industry,産業
influence,影響
institution,機関
issue,問題
majority,多数派
method,方法
minority,少数派
opportunity,機会
policy,政策
population,人口
accurate,正確な
additional,追加の
adequate,十分な
advanced,高度な
annual,年1回の
appropriate,適切な
artificial,人工の
available,利用できる
aware,気づいている
basic,基本的な
broad,広い
capable,能力がある
certain,確かな
complex,複雑な
confident,自信のある
conscious,意識している
considerable,かなりの
consistent,一貫した
contemporary,現代の
critical,重大な
cultural,文化的な
current,現在の
economic,経済の
effective,効果的な
efficient,効率的な
essential,不可欠な
exact,正確な
familiar,よく知られた
flexible,柔軟な
former,以前の
frequent,頻繁な
fundamental,基本的な
general,一般的な
global,世界的な
harmful,有害な
independent,独立した
initial,最初の
intellectual,知的な
internal,内部の
likely,ありそうな
major,主要な
mental,精神の
necessary,必要な
obvious,明らかな
ordinary,普通の
particular,特定の
physical,身体の
potential,潜在的な
previous,前の
primary,主要な
absolutely,絶対に
accidentally,偶然に
actually,実際に
additionally,加えて
approximately,およそ
basically,基本的に
consequently,その結果
constantly,絶えず
currently,現在は
deliberately,わざと
effectively,効果的に
especially,特に
eventually,最終的に
frequently,頻繁に
generally,一般的に
gradually,徐々に
immediately,すぐに
increasingly,ますます
meanwhile,その間に
moreover,さらに
nearly,ほとんど
necessarily,必ずしも
obviously,明らかに
particularly,特に
previously,以前に
probably,おそらく
properly,適切に
rarely,めったに〜ない
relatively,比較的
seriously,真剣に
simply,単に
specifically,具体的に
therefore,それゆえ
unfortunately,残念ながら
whereas,一方で
unless,〜でない限り
according to,〜によると
as a result,結果として
due to,〜が原因で
in addition,加えて
