id,english,japanese,detail,sample,sample-jpn
a1-part4-0099,healthy,健康な,体や状態がよいこと。健康な・健全なに使う。 ,"Healthy food gives you energy.",健康的な食べ物はエネルギーをくれる。
a1-part3-0152,interview,面接,質問して話を聞く場。面接・取材・会見を表す。,"The interview lasted twenty minutes.",面接は20分続いた。
a1-part7-0192,path,小道,人・物が通る道。小道・進路・方法を表す。 ,"The path led us to a quiet lake.",その小道は静かな湖へと続いていた。
a1-part4-0044,rain,雨,自然や天候に関する「雨」。季節・空・環境の話で使う。 ,"Rain drummed on the metal roof.",雨が金属の屋根を叩いた。
a1-part7-0014,separate,～を分ける、別々の,別々に分けるイメージ。引き離す・別個のの意味にも使う。,"Separate the white shirts from the colored ones.",白いシャツと色物を分けなさい。
a1-part4-0008,warm,暖かい,心地よく暖かい状態。温かい心・熱のこもった様子にも広がる。,"The smell of warm bread filled the kitchen.",温かいパンの香りがキッチンを満たした。
a1-part7-0200,competition,競争,勝ち負けや優劣を争うこと。競争・大会にも使う。 ,"The competition attracted teams from five countries.",その大会には5カ国からチームが集まった。
a1-part3-0062,correct,正しい、～を訂正する,誤りがない状態。間違いを直すという動詞にもなる。,"Please correct the spelling mistake.",スペルミスを直してください。
a1-part6-0111,exist,存在する,実際にあること。存在する、存続するの意味。 ,"Some rare birds exist only on this island.",この島にしか生息していない珍しい鳥がいる。
a1-part8-0009,guard,見張り,見張る番人・護衛。守る・防護具や、守る動詞にも使う。,"The guard checked our bags.",警備員が私たちの荷物を確認した。
a1-part7-0004,improve,～を改善する、よくなる,よりよくするイメージ。改善する・上達する意味にも使う。,"Daily practice can improve your English.",毎日練習すれば英語は上達する。
a1-part4-0107,moon,月,自然や天候に関する「月」。季節・空・環境の話で使う。 ,"The moon rose above the orchard.",月が果樹園の上に昇った。
a1-part7-0049,prevent,～を防ぐ,前もって防ぎ止めるイメージ。妨げる・じゃまする意味にも使う。,"This helmet helps prevent head injuries.",このヘルメットは頭部のけがを防ぐのに役立つ。
a1-part8-0072,shoot,～を撃つ、撮影する,銃や矢を撃つイメージ。写真・映画を撮る・シュートする意味にも。,"The photographer will shoot the scene at noon.",カメラマンは正午にそのシーンを撮影する。
a1-part4-0020,sport,スポーツ,体を使う競技。娯楽・気晴らしや、俗に気のいい人も指す。,"Sport brings the town together.",スポーツが町を一つにする。
a1-part7-0156,suit,スーツ、～に合う、訴訟,上下そろいのスーツ。～に合う動詞や、訴訟の意味にも使う。,"He wore a dark suit to the interview.",彼は面接に黒いスーツを着た。
a1-part7-0194,trouble,苦難,物事を乱す困りごと。問題・面倒・困らせる動詞。 ,"We are in trouble now.",私たちは今、大変な状況にある。
a1-part8-0117,beauty,美しさ,美しい性質や人・物。美しさ・美点に使う。 ,"The beauty of the sunset surprised us.",夕日の美しさに私たちは驚いた。
a1-part4-0135,wonderful,驚くべき,驚くほどすばらしい状態。すてきな・見事なイメージ。,"The wonderful smell came from the bakery.",すてきな香りがパン屋から漂ってきた。
a1-part3-0184,corner,かど,2つの辺が会う所。角・曲がり角・追い詰める意味もある。 ,"The cafe stands on the corner.",カフェは角に立っている。
a1-part4-0037,driver,運転手,車を運転する運転手。推進するもの・ゴルフのクラブも指す。,"The driver stopped at the red light.",運転手が赤信号で止まった。
a1-part4-0150,everybody,みんな、すべての人,その場の全員・すべての人を指す代名詞。,"Everybody waited quietly in the hall.",みんなが廊下で静かに待っていた。
a1-part7-0185,herself,彼女自身,「彼女自身」を表す再帰・強調の代名詞。,"She made the cake herself.",彼女は自分でケーキを作った。
a1-part4-0102,jump,跳ぶ,地面をけって跳ぶイメージ。急に上がる・飛びつく意味にも使う。,"Jump over the puddle.",水たまりを飛び越えなさい。
a1-part3-0170,leg,脚,体を支え歩く部分。いす・旅程の一区間の意味にも広がる。,"His leg hurt after the climb.",登った後、彼の足が痛んだ。
