english,japanese
accumulate,蓄積する
accommodate,収容する
accustom,慣れさせる
adhere,固執する
authorize,許可する
bloom,咲く
cherish,大切にする
compel,強制する
complement,補完する
constrain,制約する
decode,解読する
differentiate,区別する
discharge,放出する
distort,歪める
diversify,多様化する
edit,編集する
embody,具現化する
emit,排出する
enlarge,拡大する
entitle,資格を与える
erupt,噴火する
exaggerate,誇張する
exemplify,例示する
flourish,栄える
formulate,公式化する
foster,育てる
grip,しっかり握る
halt,停止する
heal,治る
inherit,受け継ぐ
innovate,革新する
intimidate,おびえさせる
invade,侵入する
kneel,ひざまずく
leak,漏れる
manipulate,操作する
migrate,移住する
mimic,まねる
minimize,最小限にする
nourish,養う
persist,固執する
prescribe,処方する
prosper,繁栄する
provoke,引き起こす
qualify,資格を得る
quote,引用する
renew,更新する
reproduce,再生産する
resolve,解決する
restrict,制限する
retain,保持する
revise,修正する
sacrifice,犠牲にする
scan,詳しく調べる
scatter,散らす
secure,確保する
shrink,縮む
simulate,模擬する
soar,急上昇する
specify,明記する
specialize,専門にする
strengthen,強める
submit,提出する
substitute,代用する
sue,訴える
supervise,監督する
sustain,維持する
tolerate,我慢する
transfer,移す
transmit,伝える
withdraw,引き下がる
abuse,虐待
accommodation,宿泊施設
accuracy,正確さ
adolescence,青年期
affection,愛情
agenda,議題
alternative,代替案
ambassador,大使
anniversary,記念日
approval,承認
asset,財産
assignment,課題
avenue,大通り
awareness,認識
biography,伝記
breakthrough,飛躍的進歩
caption,字幕
consensus,合意
contract,契約
cuisine,料理
curriculum,教育課程
deficit,赤字
dialogue,対話
dispute,論争
donor,寄付者
ecosystem,生態系
emperor,皇帝
equation,方程式
ethics,倫理
executive,幹部
export,輸出
footprint,足跡
forecast,予報
fossil,化石
freight,貨物
gender,性
gene,遺伝子
hemisphere,半球
hierarchy,階層
hint,手がかり
hormone,ホルモン
incident,出来事
incentive,動機づけ
inflation,インフレ
inhabitant,住民
initiative,主導権
literacy,読み書き能力
luxury,贅沢
manuscript,原稿
margin,余白
mechanism,仕組み
metaphor,比喩
milestone,節目
molecule,分子
monument,記念碑
motive,動機
narrative,物語
nutrition,栄養
observer,観察者
orbit,軌道
outlet,販売店
peer,同年代の人
phase,段階
pioneer,先駆者
portrait,肖像
prejudice,偏見
premise,前提
privilege,特権
procedure,手順
prospect,見込み
acute,鋭い
adjacent,隣接した
allergic,アレルギーの
anonymous,匿名の
autonomous,自律した
awkward,ぎこちない
breathtaking,息をのむような
chronic,慢性の
civic,市民の
coherent,筋の通った
collective,集団の
concrete,具体的な
contradictory,矛盾した
costly,費用のかかる
distinctive,特徴的な
durable,耐久性のある
edible,食べられる
elaborate,精巧な
eligible,資格のある
equivalent,同等の
ethnic,民族の
excessive,過度の
extinct,絶滅した
fancy,高級な
feasible,実行可能な
fluent,流ちょうな
hostile,敵意のある
immune,免疫のある
implicit,暗黙の
inconvenient,不便な
indigenous,先住の
infinite,無限の
intense,強烈な
mutual,相互の
noble,高貴な
notable,注目すべき
odd,奇妙な
overwhelming,圧倒的な
parallel,平行の
portable,持ち運びできる
prominent,目立つ
random,無作為の
reluctant,気が進まない
sacred,神聖な
sincere,誠実な
spontaneous,自発的な
sophisticated,洗練された
subjective,主観的な
transparent,透明な
vulnerable,傷つきやすい
abruptly,突然に
altogether,完全に
comparatively,比較的
dramatically,劇的に
explicitly,明確に
extensively,広範囲に
formerly,以前は
merely,単に
notably,とりわけ
predominantly,主に
presumably,おそらく
respectively,それぞれ
subsequently,その後
supposedly,おそらく
thoroughly,徹底的に
voluntarily,自発的に
as to,〜に関して
in exchange for,〜と引き換えに
on the verge of,〜寸前で
with respect to,〜に関して
