english,japanese,detail,sample
creative,創造力のある,新しいものを生み出す力が主な意味。発想・表現の豊かさにも使う。 ,"The chef added the creative near the end."
acceptable,受け入れられる,基準を満たし受け入れられる感覚。許容範囲にも使う。 ,"The editor marked an acceptable phrase."
pan,平鍋,浅い鍋が主な意味。料理用の器具、カメラを横に振る動きにも使う。 ,"The recipe calls for the pan at the end."
alive,生きている,命があり活動している状態。比喩的に生き生きした意味も。 ,"The schedule remained alive after the storm."
sudden,突然の,「突然の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The committee made a sudden decision."
shut,～を閉める,対象に働きかける動詞。「閉める」動作から抽象的用法にも広がる。 ,"Workers learned to shut it during practice."
exhibition,展示会、展覧会,動作・性質を名詞化した語。「展示会」という概念や結果を表す。 ,"The speaker defined exhibition with a simple example."
pile,積み重ね,「積み重ね」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the pile near the entrance."
wisdom,知恵,「知恵」を指す基本語。物・考え・場面を具体的に表す。 ,"The lecture explored wisdom through real cases."
helpful,助けになる,助けになる性質が主な意味。人・情報・道具の有用さを表す。 ,"The editor marked a helpful phrase."
artificial,人造の,「人造の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The flower was artificial."
shot,発砲,撃つ一発が主な意味。写真・注射・試みなど「一回」の意味にも広がる。 ,"The photograph showed the shot in soft light."
click,カチリという音,カチッという音が主な意味。マウス操作や考えがはまる感覚にも使う。 ,"The artist captured the click in the sketch."
split,～を縦に割る,一つを分ける動き。割れる・分裂する・費用を分担する意味にも。 ,"The training video shows how to split it safely."
bend,～を曲げる,まっすぐな物を曲げる感覚。道が曲がる、規則を曲げるにも使う。 ,"Please bend it after checking the instructions."
progressive,進歩的な,「進歩的な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The teacher chose a progressive example."
wood,木材、森,「木材」を指す基本語。物・考え・場面を具体的に表す。 ,"The manual listed the wood under tools."
float,浮く,水や空中に浮かぶ感覚。考えを提案する意味にも広がる。 ,"A shadow covered the float by the river."
hero,英雄,「英雄」という人・役割が主な意味。職業・立場・関係を表す。 ,"The manager reviewed the hero before the meeting."
stuff,材料,具体名をぼかして物や内容を指す語。材料・持ち物にも使う。 ,"The guide mentioned the stuff near the entrance."
cheap,値段が安い,「値段が安い」を指す基本語。物・考え・場面を具体的に表す。 ,"The class found a cheap pattern in the story."
online,オンラインの,「オンラインの」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The editor marked an online phrase."
nervous,緊張した、神経質な,「緊張した」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The guide suggested a nervous method."
harm,害,「害」を指す基本語。物・考え・場面を具体的に表す。 ,"The presenter pointed to the harm on the slide."
coin,硬貨,「硬貨」を指す基本語。物・考え・場面を具体的に表す。 ,"The checklist included the coin at the end."
apartment,アパート,「アパート」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The apartment was small but comfortable."
attractive,魅力のある,人を引きつける魅力が主な意味。外見・条件・案にも使う。 ,"The coach praised an attractive effort."
