english,japanese
weapon,武器
setting,はめこみ台
witness,目撃者
vessel,船
wing,翼
hang,を掛ける
conservation,保存
calculation,見積もり
symptom,徴候
democratic,民主主義の
valuable,価値のある
scope,範囲
capable,手腕のある
lift,を持ち上げる
equally,平等に
northern,北の
participant,関係者
intention,意図
significance,重要性
compose,を構成する
urge,を駆り立てる
diameter,直径
worth,価値がある
organic,有機体の
afford,の余裕がある
unable,できない
unique,ただ一つしかない
probability,ありそうなこと
alcohol,アルコール
threat,脅し
efficient,能率的な
tendency,傾向
economics,経済学
rely,あてにする
temporary,一時の
filter,ろ過器
confidence,信頼
violence,暴力
extreme,極度の
currently,現在は
terminal,終りの
opposition,反対すること
pupil,生徒
publisher,出版業者
contrary,反対の
encounter,に偶然出会う
victim,犠牲者
arrest,を逮捕する
absolute,まったくの
mount,を登る
mile,マイル
capture,を捕える
objection,反対
distinction,区別
holy,神聖な
switch,しなやかな小枝
restrict,を制限する
slight,わずかの
minority,少数
bulletin,公報
literary,文学の
discovery,発見
visual,視覚の
registration,登録すること
incident,でき事
behalf,大義
wound,傷
obviously,明らかに
disability,障害
package,包み
poet,詩人
mere,ほんの
canal,運河
aside,わきに
copyright,著作権
mutual,相互の お互いに対する
via,経由で
presentation,贈呈
rare,まれな
similarly,類似して
stick,を刺す
stable,安定した
academic,学問の
spiritual,精神的な
adapt,を適応させる
beat,をたたく
sharp,鋭い
prison,刑務所
slope,傾斜する
stem,茎
classify,を分類する
working,動く
notion,心に思うこと
academy,学士院
negotiation,換金
separation,分離
allowance,割り当て
normally,正常に
ignore,を無視する
consequently,その結果として
assignment,割り当てられた仕事
league,リーグ)
cattle,牛
furthermore,なお
lecture,講義
monitor,訓戒者
admission,入ることを許すこと
commonly,一般に
climate,気候
prayer,祈ること
accurate,正確な
achievement,成就
bishop,主教
atmosphere,大気
oral,口頭の
democracy,民主政治
taste,味覚
acknowledge,を認める
preference,好み
prisoner,囚人
partial,一部分の
evident,明白な
rail,レール
unemployment,失業
psychological,心理学の
chemistry,化学
transformation,変形
dealer,商人
strip,を取り去る
poetry,詩
outstanding,目立つ
slip,滑る
naturally,気どらずに
insist,と強く要求する
phrase,句と違って「主語+述語動詞」の構造を持たず
abandon,を捨てる
molecule,分子mol)
profession,専門職
gap,割れ目
eastern,東の
impression,印象
restore,を復活させる
remedy,治療薬
fold,を折る
tension,ぴんと張ること
counter,売り台
scholar,学者
outer,外に
atlantic,大西洋の
deed,行為
log,丸太
whenever,するときはいつでも
hire,を雇う
narrative,物語
translate,を翻訳する
declaration,宣言
transform,を変える
stretch,をいっぱいに伸ばす
convince,を納得させる
competitive,競争の
acceptance,受け取ること
exact,正確な
vast,広大な
increasingly,ますます
discrimination,区別すること
depression,くぼ地
accuracy,正確さ
definite,一定の
suspect,らしいと思う
attract,を引きつける
virus,ビールス
glance,ちらっと見る
currency,通貨
intermediate,中間の
ward,病棟
poverty,貧乏
emotional,感情の
reflection,反射
priest,聖職者
retail,小売り
breath,息
defeat,を負かす
invest,を投資する
frequent,しばしば起こる
satisfaction,満足させること
promotion,昇進
visible,目に見える
attain,を達成する
emotion,強い感情
lean,やせた
blind,目の見えない
huge,巨大な
moderate,適度の
stare,じっと見つめる
organism,有機体
illness,病気
tire,を疲れさせる
nod,うなずく
tank,タンク
trail,の後について行く
