english,japanese,detail,sample
persecution,迫害,「迫害」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The debate revealed persecution after the vote."
remedial,補習の；改善の,「補習の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「改善の」の意味もある。 ,"The coach praised a remedial effort."
invoice,請求書；送り状,「請求書」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「送り状」の意味もある。 ,"The artist captured the invoice in the sketch."
plausible,もっともらしい,「一見もっともらしい」を表す語。真実とは限らない点に注意。 ,"The teacher chose a plausible example."
salvage,救出・回収；引き揚げ,「失われそうな物を救い出す」を表す語。船・資源・状況に使う。意味は「救出・回収」・「引き揚げ」などに分かれる。 ,"The driver checked the salvage before departure."
envisage,～を心に描く,「心に描く」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to envisage it during practice."
irony,皮肉,「皮肉」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The visitor noticed the irony near the doorway."
forfeit,没収されるもの；～を失う,「罰として失う」を表す語。権利・試合・保証金などで使う。「没収されるもの」の意味もある。 ,"Workers need to forfeit the contract safely."
psychiatrist,精神科医,「精神科医」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The nurse recorded the psychiatrist on the chart."
intuition,直観,「直観」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"Her essay connected intuition with daily life."
adversary,敵,「敵」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report noted an adversary pattern."
alleviate,～を軽減する,「軽減する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to alleviate it."
profess,～を公言する；装う,「公言する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「装う」の意味もある。 ,"They decided to profess it before noon."
traumatic,外傷性の,「外傷性の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a traumatic example."
heighten,～を高くする,「高くする」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Please heighten it after checking the instructions."
vitality,生気,「生気」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The article linked vitality to climate change."
adjustable,調節できる,「調節できる」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The coach praised an adjustable effort."
speculate,推測する,「推測する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"They decided to speculate it before noon."
resent,～に腹を立てる,「腹を立てる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The training video shows how to resent it safely."
incision,切り込むこと,「切り込むこと」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"Her essay connected incision with daily life."
apprenticeship,徒弟の身分,「徒弟の身分」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The debate revealed apprenticeship after the vote."
deprivation,はく奪,「はく奪」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The study measured deprivation across three groups."
drawback,障害,「障害」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The photograph showed the drawback in soft light."
negligent,怠慢な,「怠慢な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a negligent example."
climax,最高潮,「最高潮」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The manual listed the climax under tools."
plaque,銘板；歯垢,「銘板」を表す語という具体的対象。人・物・場所などを直接指す語。「歯垢」の意味もある。 ,"A plaque marked the building."
impede,～を妨げる,「妨げる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to impede it."
