english,japanese
hibernate,冬眠する
ego,自我
scornfully,軽べつして
parasite,寄生動物
scathing,痛烈な
voracious,むさぼり食う
tycoon,実業界の大立て者
pinnacle,小尖塔
impersonate,のまねをする
quirk,変な癖
darkroom,暗室
jersey,ジャージー
shambles,流血の場面
telltale,秘密をもらす人
blockbuster,大型爆弾
bouquet,花束
classy,かっこいい
engrossing,人を夢中にさせる
irate,怒った
lethargic,昏睡の
wickedly,不正に
untangle,のもつれを解く
bubbly,泡の多い
suburbia,郊外
intuit,を直観する
clammy,冷たくしめっぽい
haggle,押し問答する
ploy,手だて
honk,ガンの鳴き声
stylistically,文体上
credibly,信用できて
tedium,退屈
strapping,背が高くてがっしりした
pendulous,ぶら下がっている
fiend,悪魔
suds,石けんの泡
conservatory,温室
macabre,気味の悪い
salve,軟こう
brainwash,を洗脳する
rarity,珍しさ
aqua,水
glum,むっつりした
neglectful,怠慢な
synthetically,総合して
claustrophobic,密室恐怖症の
unplug,のプラグを抜く
unenviable,あまりうらやましくない
fiendish,悪魔のような
riveting,とてもおもしろい
eccentrically,風変わりに
poetess,女流詩人
remorseless,無慈悲な
snooze,軽くひと眠りする
pendulum,振り子
headstrong,わがままな
dither,うろたえ
wizened,しなびた
fiddler,バイオリンひき
gushing,ほとばしり出る
fabulously,信じられないほど
impersonator,物まねをする人
insubordinate,従順でない
impish,小悪魔のような
panorama,広々と見渡せる光景
claustrophobia,密室恐怖症
torturous,拷問のような
baldly,ありのまま
salivate,だ液を分泌する
ecstatically,有頂天になって
hedgehog,ハリネズミ
impersonally,個人的でなく
zany,ばかげた冗談を言う人
exhibitionist,自己顕示欲の強い人
unmanned,乗組員がいない
unison,一致
gamely,勇敢に
washtub,洗濯だらい
gutsy,勇敢な
settee,長いす
prolifically,多産して
pedicure,足の手入れ
stuffiness,風通しの悪いこと
buffoon,道化師
anticlimactic,急降法の
bureaucratically,官僚的に
chaotically,混とんとして
buzzer,ブザー
somersault,とんぼ返り
raunchy,汚らしい
inexcusably,言い訳のたたないほど
exotically,異国ふうに
gusto,大きな喜び
slob,うす汚くだらしない人
eclectically,取捨選択して
goose,ガチョウ
trampoline,トランポリン
motley,まだらの
exodus,国を出て行くこと
sketchbook,スケッチブック
verve,熱
bribery,贈賄
stuffily,堅苦しく
trying,try の現在分詞
removed,隔った
stamina,スタミナ
plumbing,鉛管工事
shortlist,最終選抜候補者名簿
withdrawn,人里離れた
staggering,よろめく
parameter,媒介変数
counsel,協議
induce,に勧めてさせる
commodity,日用品
ore,鉱石
correlation,相互関係
merit,に値する
integration,統合
hypothesis,仮説
proposition,提案
equilibrium,釣り合い
standing,身分
synthesis,総合
wholly,まったく
cognitive,認識の
provincial,地方の
vocational,職業の
denote,を示す
beneficiary,利益を受ける人
diminish,を小さくする
spatial,空間の
residue,残り
subsidy,補助金
practitioner,開業医
residual,残りの
correlate,に相互関係を持たせる
accrue,生じる
combustion,燃焼
vicinity,近所
embody,を具体化する
fluctuation,波動
physiological,生理学上の
kinetic,運動の
proportional,比例の
hull,外皮
echo,反響
mediate,を調停する
qualitative,質の
prolong,を延ばす
angular,かどのある
acreage,エーカー数
adhere,くっつく
secular,宗教に関係のない
diffuse,を散らす
embed,を埋める
hitherto,今まで
encompass,を取り囲む
rhetoric,修辞学
slab,厚板
disperse,を四方に散らす
intrinsic,本質的な
allotment,割り当て
eminent,高い
additive,添加された
stipulate,を規定する
procedural,手続きの
autonomous,自治の
reconcile,を和解させる
electrode,電極
contractual,契約の
proliferation,拡散
transmitter,送る人
automate,に自動装置をつける
solicit,を請い求める
scholarly,学者の
hinder,後方の
deficient,欠陥のある
seismic,地震の
subsistence,生きていくこと
elasticity,弾力
mediation,調停
forfeiture,没収
locomotive,機関車
reconciliation,和解
fabricate,を組み立てる
imposition,課すること
cosmic,宇宙の
allot,を割り当てる
fabrication,組み立て
disseminate,を広める
homestead,家屋敷
dissemination,普及
stipulation,規定
annex,を付け加える
solitary,ひとりぼっちの
legion,軍団
incumbent,義務として掛かる
menace,脅迫
tactical,戦術上の
proprietary,所有主の
