english,japanese
add,加える
arrive,到着する
burn,燃える
carry,運ぶ
cause,引き起こす
celebrate,祝う
connect,つなぐ
control,制御する
cover,覆う
cross,横切る
depend,頼る
die,死ぬ
divide,分ける
escape,逃げる
expect,予期する
fight,戦う
flow,流れる
gather,集まる
hang,掛ける
hide,隠す
hit,打つ
hurry,急ぐ
injure,傷つける
invent,発明する
kill,殺す
knock,ノックする
lead,導く
lie,横たわる
marry,結婚する
mix,混ぜる
offer,申し出る
perform,演じる
print,印刷する
publish,出版する
refuse,断る
remind,思い出させる
rest,休む
rise,上がる
sail,航海する
shake,振る
shine,輝く
shoot,撃つ
spread,広がる
steal,盗む
step,一歩進む
strike,打つ
succeed,成功する
touch,触れる
trust,信頼する
vote,投票する
wrap,包む
bake,焼く
boil,ゆでる
brush,磨く
cheer,応援する
copy,写す
deliver,届ける
feed,食べ物を与える
hate,嫌う
hunt,狩る
lock,鍵をかける
recycle,リサイクルする
rush,急いで行く
taste,味がする
type,入力する
breathe,呼吸する
belong,所属する
consider,よく考える
realize,気づく
promise,約束する
ancient,古代の
Asian,アジアの
available,利用できる
blind,目の見えない
careless,不注意な
chemical,化学の
convenient,便利な
daily,毎日の
double,2倍の
equal,等しい
exact,正確な
female,女性の
male,男性の
final,最後の
fresh,新鮮な
global,世界的な
golden,金色の
human,人間の
ideal,理想的な
junior,年下の
senior,年上の
minor,小さいほうの
national,国の
native,生まれつきの
opposite,反対の
polite,礼儀正しい
primary,主要な
round,丸い
separate,別々の
silent,静かな
single,たった1つの
social,社会の
smooth,なめらかな
tiny,とても小さい
usual,いつもの
wooden,木製の
worth,価値がある
digital,デジタルの
nervous,緊張した
lucky,幸運な
activity,活動
article,記事
author,著者
behavior,行動
blood,血
board,板
branch,枝
bridge,橋
century,世紀
climate,気候
coast,海岸
condition,状態
contest,コンテスト
corner,角
crowd,群衆
damage,損害
danger,危険
data,データ
degree,度
direction,方向
disease,病気
distance,距離
education,教育
electricity,電気
entrance,入口
exam,試験
exercise,運動
experiment,実験
explorer,探検家
fire,火
floor,床
government,政府
grass,草
guest,客
habit,習慣
hall,ホール
hero,英雄
industry,産業
instrument,楽器
island,島
item,品物
knowledge,知識
land,陸地
law,法律
level,水準
metal,金属
mind,心
moment,瞬間
movement,動き
nation,国家
ocean,海洋
owner,所有者
period,期間
planet,惑星
population,人口
price,価格
prize,賞
product,製品
purpose,目的
result,結果
route,道筋
service,サービス
shape,形
size,大きさ
skill,技能
smoke,煙
speaker,話し手
speed,速度
stone,石
storm,嵐
symbol,象徴
temperature,温度
theater,劇場
tool,道具
traffic,交通
traveler,旅行者
village,村
war,戦争
wood,木材
youth,若さ
north,北
south,南
east,東
west,西
zero,0
thousand,1000
million,100万
once,一度
instead of,〜の代わりに
because of,〜のために
