english,japanese,detail,sample
bud,芽,「芽」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The manual listed the bud under tools."
lest,～しないように,「しないように」を表す語。動作・判断の仕方や程度を添える。 ,"He whispered lest he wake the baby."
syllable,音節,「音節」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The artist captured the syllable in the sketch."
spectacle,光景,「光景」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The guide mentioned the spectacle near the entrance."
sanitation,衛生,「衛生」を表す語。行為・結果・状態を表す名詞。 ,"The committee discussed sanitation for an hour."
microscopic,顕微鏡の,「顕微鏡の」を表す語。人・物・状況の性質を描く形容詞。 ,"The teacher chose a microscopic example."
mock,～をあざける・まねる,「あざける・まねる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide showed us how to mock it."
murmur,ささやき・ざわめき,「ささやき・ざわめき」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The presenter pointed to the murmur on the slide."
unsatisfactory,不満足な,「不満足な」を表す語。否定・不足・反対状態を表す。 ,"The team chose an unsatisfactory route."
mutter,つぶやく,「つぶやく」を表す語。動作・判断の仕方や程度を添える。 ,"The article described the mutter with an example."
nationwide,全国的な,「全国的な」を表す語。人・物・状況の性質を描く形容詞。 ,"The report noted a nationwide pattern."
linger,長居する・残る,「長居する・残る」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"A photo showed the linger beside the road."
offend,～の感情を害する,「感情を害する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"His words may offend people."
absurd,道理に合わない,「道理に合わない」を表す語。人・物・状況の性質を描く形容詞。 ,"The teacher chose an absurd example."
lengthy,非常に長い,「非常に長い」を表す語。人・物・状況の性質を描く形容詞。 ,"The editor marked a lengthy phrase."
rip,～を裂く・破れる,「裂く・破れる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Workers learned to rip it during practice."
technically,専門的に,「専門的に」を表す語。動作・判断の仕方や程度を添える。 ,"Technically, the route needs more time."
unsuccessful,不成功の,「不成功の」を表す語。否定・不足・反対状態を表す。 ,"The sign gave an unsuccessful warning."
scent,～におい,「おい」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The training video shows how to scent it safely."
revenge,復讐・～に復讐する,「復讐・に復讐する」を表す語。再び行う・元に戻す感覚がある。 ,"The presenter pointed to the revenge on the slide."
disrupt,～を混乱させる,「混乱させる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Workers learned to disrupt it during practice."
thinker,思想家・考える人,「思想家・考える人」を表す語。その役割・職業・立場の人を表す。 ,"They tried to thinker the proposal after lunch."
bureaucracy,官僚制・官僚組織,「官僚制・官僚組織」を表す語。性質・状態・考え方を表す抽象語。 ,"A short story illustrated bureaucracy clearly."
gasp,はっと息をのむ,「はっと息をのむ」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"A photo showed the gasp beside the road."
melody,旋律・メロディー,「旋律・メロディー」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The manual listed the melody under tools."
miniature,模型,「模型」を表す語。行為・結果・状態を表す名詞。 ,"The report connected the miniature to the case."
legislator,立法者・議員,「立法者・議員」を表す語。その役割・職業・立場の人を表す。 ,"The manager reviewed the legislator before the meeting."
starve,餓死する,「餓死する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide mentioned the starve near the entrance."
contradict,～と矛盾する・否定する,「と矛盾する・否定する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The facts contradict his story."
vow,誓い・誓う,「誓い・誓う」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The team checked the vow before leaving."
flip,～をはじく,「はじく」を表す語。動作・判断の仕方や程度を添える。 ,"Workers learned to flip it during practice."
journalism,ジャーナリズム,「ジャーナリズム」を表す語。性質・状態・考え方を表す抽象語。 ,"The study measured journalism across three groups."
foresee,～を予知する,「予知する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"They decided to foresee it before noon."
mortar,モルタル・迫撃砲,「モルタル・迫撃砲」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The article described the mortar with an example."
infringement,侵害,「侵害」を表す語。行為・結果・状態を表す名詞。 ,"The committee discussed infringement for an hour."
conversely,逆に,「逆に」を表す語。動作・判断の仕方や程度を添える。 ,"The boat drifted conversely across the lake."
mist,かすみ,「かすみ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The manual listed the mist under tools."
kneel,ひざまずく,「ひざまずく」を表す語。動作・判断の仕方や程度を添える。 ,"The report connected the kneel to the case."
neat,きちんと整った,「きちんと整った」を表す語。人・物・状況の性質を描く形容詞。 ,"The team chose a neat route."
turbulent,荒れ狂う,「荒れ狂う」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide mentioned the turbulent near the entrance."
ambiguous,いろいろな意味にとれる,「いろいろな意味にとれる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The report noted an ambiguous pattern."
doom,運命,「運命」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The team checked the doom before leaving."
pave,～を舗装する,「舗装する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"They decided to pave it before noon."
outfit,装備一式,「装備一式」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The presenter pointed to the outfit on the slide."
subtract,～を引く,「引く」を表す語。動作・判断の仕方や程度を添える。 ,"Please subtract it after checking the instructions."
detachment,分離・無関心,「分離・無関心」を表す語。行為・結果・状態を表す名詞。 ,"The article linked detachment to climate change."
potent,強力な・有力な,「強力な・有力な」を表す語。人・物・状況の性質を描く形容詞。 ,"The coach praised a potent effort."
frankly,率直に,「率直に」を表す語。動作・判断の仕方や程度を添える。 ,"Frankly, the route needs more time."
nuisance,迷惑な人・物,「迷惑な人・物」を表す語。行為・結果・状態を表す名詞。 ,"The nuisance arrived early for the workshop."
imprison,～を投獄する,「投獄する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Please imprison it after checking the instructions."
aboriginal,先住の・先住民の,「先住の・先住民の」を表す語。人・物・状況の性質を描く形容詞。 ,"The teacher chose an aboriginal example."
unwilling,気が進まない,「気が進まない」を表す語。否定・不足・反対状態を表す。 ,"The editor marked an unwilling phrase."
chew,～をかむ,「かむ」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"They decided to chew it before noon."
interpersonal,人と人との間の,「人と人との間の」を表す語。否定・不足・反対状態を表す。 ,"The teacher chose an interpersonal example."
accusation,告発すること,「告発すること」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The committee discussed accusation for an hour."
abruptly,突然に,「突然に」を表す語。動作・判断の仕方や程度を添える。 ,"The boat drifted abruptly across the lake."
indebted,借金がある,「借金がある」を表す語。否定・不足・反対状態を表す。 ,"The checklist included the indebted at the end."
deduce,～を推論する,「推論する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"They decided to deduce it before noon."
exceptionally,例外的に,「例外的に」を表す語。動作・判断の仕方や程度を添える。 ,"She spoke exceptionally to the visitor."
preferably,できれば・望ましくは,「できれば・望ましくは」を表す語。動作・判断の仕方や程度を添える。 ,"The team worked preferably through the night."
respiration,呼吸,「呼吸」を表す語。行為・結果・状態を表す名詞。 ,"The debate revealed respiration after the vote."
suspicious,疑わしい,「疑わしい」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The coach praised a suspicious effort."
knot,結び目,「結び目」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"Tie a knot at the end of the rope."
spur,拍車,「拍車」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The guide marked the spur on the map."
ineffective,効果のない,「効果のない」を表す語。否定・不足・反対状態を表す。 ,"The committee made an ineffective decision."
transistor,トランジスター,「トランジスター」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The team checked the transistor before leaving."
indulge,～を甘やかす・ふける,「甘やかす・ふける」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide showed us how to indulge it."
