english,japanese
elementary school,小学校
junior high school,中学校
grade,学年
class,クラス
lesson,授業
subject,教科
schedule,予定
timetable,時間割
homework,宿題
test,テスト
quiz,クイズ
club,クラブ
team,チーム
member,メンバー
group,グループ
partner,相手
question,質問
answer,答え
dictionary,辞書
textbook,教科書
worksheet,ワークシート
presentation,発表
speech,スピーチ
story,物語
song,歌
chant,チャンツ
math class,算数の授業
science class,理科の授業
music class,音楽の授業
P.E. class,体育の授業
January,1月
February,2月
March,3月
April,4月
May,5月
June,6月
July,7月
August,8月
September,9月
October,10月
November,11月
December,12月
month,月
date,日付
birthday,誕生日
first,1番目の
second,2番目の
third,3番目の
fourth,4番目の
fifth,5番目の
sixth,6番目の
seventh,7番目の
eighth,8番目の
ninth,9番目の
tenth,10番目の
Children's Day,こどもの日
Christmas,クリスマス
New Year's Day,元日
Halloween,ハロウィン
Valentine's Day,バレンタインデー
festival,祭り
sports day,運動会
school trip,修学旅行
field trip,校外学習
vacation,休み
summer vacation,夏休み
winter vacation,冬休み
ceremony,式
party,パーティー
present,プレゼント
family,家族
father,父
mother,母
brother,兄弟
sister,姉妹
grandfather,祖父
grandmother,祖母
cousin,いとこ
parents,両親
baby,赤ちゃん
man,男性
woman,女性
boy,男の子
girl,女の子
child,子ども
people,人々
classmate,クラスメート
neighbor,近所の人
guest,客
coach,コーチ
can,できる
cannot,できない
play,する
practice,練習する
ride,乗る
fly,飛ぶ
climb,登る
ski,スキーをする
skate,スケートをする
camp,キャンプをする
fish,魚を釣る
shop,買い物をする
clean,掃除する
wash,洗う
open,開ける
close,閉める
use,使う
carry,運ぶ
cut,切る
paint,色をぬる
build,建てる
fix,直す
learn,学ぶ
teach,教える
remember,覚えている
forget,忘れる
start,始める
finish,終える
move,動く
stop,止まる
turn,曲がる
win,勝つ
lose,負ける
choose,選ぶ
collect,集める
find,見つける
send,送る
bring,持ってくる
take,持っていく
show,見せる
menu,メニュー
meal,食事
dish,料理
rice ball,おにぎり
miso soup,みそ汁
fried chicken,からあげ
hamburger steak,ハンバーグ
omelet,オムレツ
yogurt,ヨーグルト
cereal,シリアル
pancake,パンケーキ
spaghetti,スパゲッティ
ramen,ラーメン
sushi,すし
tempura,天ぷら
steak,ステーキ
curry rice,カレーライス
French fries,フライドポテト
cookie,クッキー
candy,キャンディー
chocolate,チョコレート
popcorn,ポップコーン
lemonade,レモネード
cola,コーラ
coffee,コーヒー
bank,銀行
bakery,パン屋
convenience store,コンビニ
department store,デパート
mall,ショッピングモール
hotel,ホテル
movie theater,映画館
pool,プール
stadium,スタジアム
shrine,神社
temple,寺
castle,城
farm,農場
forest,森
bus,バス
train,電車
taxi,タクシー
bicycle,自転車
car,車
plane,飛行機
map,地図
left,左
right,右
straight,まっすぐ
corner,角
job,仕事
doctor,医者
nurse,看護師
dentist,歯医者
firefighter,消防士
police officer,警察官
pilot,パイロット
driver,運転手
farmer,農家
baker,パン屋
cook,料理人
chef,シェフ
singer,歌手
dancer,ダンサー
artist,芸術家
musician,音楽家
scientist,科学者
engineer,エンジニア
astronaut,宇宙飛行士
player,選手
